"項目","単位","1980_","1981_","1982_","1983_","1984_59","1985_","1986_","1987_","1988_","1989_1","1990_","1991_","1992_","1993_","1994_6","1995_","1996_","1997_","1998_","1999_11","2000_","2001_","2002_","2003_","2004_16","2005_","2006_","2007_","2008_","2009_","有効数字(少数桁)"
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_諸雑費_その他の諸雑費","円","","","","","4215.0","","","","","7210.0","","","","","6433.0","","","","","7552.0","","","","","14626.0","","","","","15306.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_こづかい(使途不明)","円","","","","","15570.0","","","","","20117.0","","","","","23046.0","","","","","20366.0","","","","","18657.0","","","","","15333.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_交際費","円","","","","","16605.0","","","","","20056.0","","","","","20067.0","","","","","19197.0","","","","","28496.0","","","","","19731.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_交際費_贈与金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","5413.0","","","","","4746.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_交際費_他の交際費","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","682.0","","","","","167.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_仕送り金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","646.0","","","","","863.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)移転支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","803.0","","","","","726.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教育関係費","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","423.0","","","","","545.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教養娯楽関係費","円","","","","","14061.0","","","","","17597.0","","","","","17098.0","","","","","16043.0","","","","","17278.0","","","","","10091.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教養娯楽関係費_耐久財","円","","","","","2544.0","","","","","2460.0","","","","","2968.0","","","","","3154.0","","","","","3251.0","","","","","2592.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教養娯楽関係費_読書","円","","","","","10374.0","","","","","10660.0","","","","","10952.0","","","","","19231.0","","","","","16106.0","","","","","10115.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教養娯楽関係費_聴視･観覧","円","","","","","－","","","","","28257.0","","","","","28050.0","","","","","35274.0","","","","","33383.0","","","","","20206.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教養娯楽関係費_旅行","円","","","","","21041.0","","","","","26068.0","","","","","28152.0","","","","","35714.0","","","","","34210.0","","","","","21090.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教養娯楽関係費_スポーツ","円","","","","","22237.0","","","","","25167.0","","","","","28686.0","","","","","29313.0","","","","","28621.0","","","","","30406.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教養娯楽関係費_月謝","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2523.0","","","","","3918.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教養娯楽関係費_会費･つきあい費","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","4616.0","","","","","4173.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教養娯楽関係費_他の教養娯楽","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2347.0","","","","","2470.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)教養娯楽関係費_[耐久財を除く教養娯楽関係費]","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","6176.0","","","","","6374.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)情報通信関係費","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1971.0","","","","","1665.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(再掲)経常消費支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2847.0","","","","","2102.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_土地家屋借金返済","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1550.0","","","","","1393.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_[持ち家（現住居）の帰属家賃]","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","6591.0","","","","","8312.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_エンゲル係数","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","26098.0","","","","","26489.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_貯蓄現在高","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","14210.0","","","","","16809.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_貯蓄現在高_通貨性預貯金","円","","","","","－","","","","","228271.0","","","","","248915.0","","","","","253592.0","","","","","244450.0","","","","","234258.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_貯蓄現在高_定期性預貯金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","18958.0","","","","","17416.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_貯蓄現在高_生命保険など","円","","","","","－","","","","","38734.0","","","","","59181.0","","","","","57096.0","","","","","62772.0","","","","","60467.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_貯蓄現在高_有価証券","％","","","","","29.4","","","","","28.6","","","","","27.3","","","","","25.5","","","","","22.2","","","","","23.5",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_負債現在高","千円","","","","","8111.0","","","","","10795.0","","","","","12886.0","","","","","14747.0","","","","","16929.0","","","","","14687.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_負債現在高_うち住宅･土地のための負債","千円","","","","","578.0","","","","","808.0","","","","","760.0","","","","","1223.0","","","","","1854.0","","","","","1692.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_負債保有率","千円","","","","","4514.0","","","","","5363.0","","","","","6918.0","","","","","8130.0","","","","","8685.0","","","","","7696.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_負債保有率_うち住宅･土地のための負債　","千円","","","","","1284.0","","","","","2261.0","","","","","3164.0","","","","","3646.0","","","","","4289.0","","","","","3417.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_負債保有率_(再掲)２０万円以上の負債","千円","","","","","1487.0","","","","","2147.0","","","","","1752.0","","","","","1407.0","","","","","1807.0","","","","","1716.0",""
"","千円","","","","","1976.0","","","","","2678.0","","","","","3755.0","","","","","4285.0","","","","","4630.0","","","","","3472.0",""
"","千円","","","","","1596.0","","","","","2226.0","","","","","3204.0","","","","","3764.0","","","","","4069.0","","","","","2853.0",""
"","％","","","","","45.1","","","","","47.0","","","","","46.2","","","","","46.1","","","","","39.1","","","","","38.1",""
"二人以上(勤労者世帯)_集計世帯数","％","","","","","31.1","","","","","34.5","","","","","32.9","","","","","33.3","","","","","29.5","","","","","25.2",""
"二人以上(勤労者世帯)_世帯数分布(抽出率調整)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","38.0","","","","","36.1",""
"二人以上(勤労者世帯)_(1万分比)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"二人以上(勤労者世帯)_世帯人員","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"二人以上(勤労者世帯)_世帯人員_18歳未満人員","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"二人以上(勤労者世帯)_世帯人員_65歳以上人員 ","","","","","","346.0","","","","","362.0","","","","","454.0","","","","","421.0","","","","","365.0","","","","","382.0",""
"二人以上(勤労者世帯)_世帯人員_66歳以上人員_うち無職者人員 ","","","","","","4095.0","","","","","3351.0","","","","","4497.0","","","","","4306.0","","","","","3935.0","","","","","158584.0",""
"二人以上(勤労者世帯)_有業人員 ","","","","","","80.0","","","","","71.0","","","","","87.0","","","","","84.0","","","","","79.0","","","","","80.0",""
"二人以上(勤労者世帯)_世帯主の年齢 ","人","","","","","3.88","","","","","3.76","","","","","3.88","","","","","3.62","","","","","3.63","","","","","3.28",""
"二人以上(勤労者世帯)_世帯主の性別　男  ","人","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1.09","","","","","0.94",""
"二人以上(勤労者世帯)_世帯主の性別　女   ","人","","","","","－","","","","","－","","","","","－","","","","","－","","","","","0.24","","","","","0.18",""
"二人以上(勤労者世帯)_持ち家率（現住居） ","人","","","","","－","","","","","－","","","","","－","","","","","－","","","","","0.2","","","","","0.12",""
"二人以上(勤労者世帯)_持ち家率（現住居） _うち住宅ローン保有率 ","人","","","","","1.48","","","","","1.61","","","","","1.66","","","","","1.67","","","","","1.64","","","","","1.63",""
"二人以上(勤労者世帯)_家賃・地代を支払っている世帯の割合 ","歳","","","","","41.7","","","","","44.3","","","","","44.5","","","","","46.1","","","","","46.0","","","","","47.1",""
"二人以上(勤労者世帯)_現住居の延べ床面積 ","人","","","","","－","","","","","－","","","","","－","","","","","－","","","","","0.929","","","","","0.899",""
"二人以上(勤労者世帯)_自動車保有台数(千世帯当たり)","人","","","","","－","","","","","－","","","","","－","","","","","－","","","","","0.071","","","","","0.101",""
